name,enabled,n_phases,n_conds,base_freq,terminal1,terminal2,length,units,line_code,geometry
k21_feeder,true,3,3,60,k_lsb.1.2.3.0,k21.1.2.3.0,0.001,ft,,
k22_feeder,true,3,3,60,k_lsb,k22,0.001,ft,,
oh_10559391,true,1,1,60,34097296.1.0,10559391.1.0,117.943141,m,oh-1ph_1/0ar,
oh_10558483,true,1,1,60,10558484.2.0,10558483.2.0,139.624403,m,oh-1ph_1/0ar,
oh_10549227,true,3,3,60,10548932.1.2.3.0,10549227.1.2.3.0,33.488829,m,oh-3ph_795aa,
oh_10548919,true,3,3,60,10548918.1.2.3.0,10548919.1.2.3.0,87.900111,m,oh-3ph_397aa,
oh_34092313,true,1,1,60,34092234.3.0,34092313.3.0,67.548075,m,oh-1ph_4ar,
oh_34085491,true,3,3,60,34095660.1.2.3.0,34085491.1.2.3.0,76.12840199999999,m,oh-3ph_795aa,
ug_34054972,true,1,1,60,34057797.3.0,34054972.3.0,84.069266,m,ug-1ph_1/0urd,
oh_10579832,true,1,1,60,10548007.3.0,10579832.3.0,7.700547,m,oh-1ph_1/0ar,
oh_10559275,true,1,1,60,34086311.1.0,10559275.1.0,98.72335699999999,m,oh-1ph_1/0ar,
oh_10558475,true,3,3,60,10558476.1.2.3.0,10558475.1.2.3.0,8.193699000000001,m,oh-3ph_1/0ar,
oh_10549221,true,3,3,60,10549222.1.2.3.0,10549221.1.2.3.0,62.979628,m,oh-3ph_795aa,
oh_10548913,true,3,3,60,10548912.1.2.3.0,10548913.1.2.3.0,127.239373,m,oh-3ph_397aa,
oh_34091314,true,1,1,60,10559587.3.0,34091314.3.0,3.799378,m,oh-1ph_1/0ar,
oh_34085468,true,1,1,60,34085954.3.0,34085468.3.0,597.943725,m,oh-1ph_4ar,
ug_34054966,true,1,1,60,20344367.2.0,34054966.2.0,8.414458,m,ug-1ph_1/0urd,
oh_10558958,true,1,1,60,10558517.1.0,10558958.1.0,7.269772,m,oh-1ph_6cu,
oh_10557182,true,3,3,60,10557802.1.2.3.0,10557182.1.2.3.0,47.292251,m,oh-3ph_795aa,
oh_10549020,true,1,1,60,20079696.3.0,10549020.3.0,95.70423,m,oh-1ph_6cu,
oh_10548907,true,3,3,60,34095590.1.2.3.0,10548907.1.2.3.0,151.303085,m,oh-3ph_2cu,
oh_34090005,true,3,3,60,10548965.1.2.3.0,34090005.1.2.3.0,4.042566,m,oh-3ph_1/0ar,
oh_34085372,true,1,1,60,10548983.1.0,34085372.1.0,5.372673,m,oh-1ph_1/0ar,
ug_34054542,true,1,1,60,20416460.1.0,34054542.1.0,82.64467399999999,m,ug-1ph_1/0urd,
