name,enabled,n_phases,n_conds,base_freq,x_hl,x_ht,x_lt,pct_load_loss,ppm_anti_float
t2,true,3,4,60,0.07904196143,0.35,0.3,0.500083334,1E-6
10559391-sa,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
10558483-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
34092313-sc,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
34085491-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
34054972-sc,true,1,2,60,0.017532,0.35,0.3,0.738,1E-6
10559275-sa,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
34085468-sc,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10549020-sc,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10548907-sb,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10555985-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10548988-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
10543795-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34086801-sc,true,1,2,60,0.01707,0.35,0.3,1.022,1E-6
34085286-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
10574854-sc,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
10548982-sa,true,1,2,60,0.01773,0.35,0.3,0.749,1E-6
34086794-sb,true,1,2,60,0.01773,0.35,0.3,0.749,1E-6
34085048-sc,true,1,2,60,0.01707,0.35,0.3,1.022,1E-6
20350796-sb,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10548968-sa,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10532911-sc,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
34097398-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34085042-sa,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
20344333-sa,true,1,2,60,0.017532,0.35,0.3,0.738,1E-6
10560618-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10549285-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
10526890-sabc,true,3,4,60,0.01803,0.35,0.3,1.008,1E-6
34097392-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34085036-sa,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
20251419-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10560337-sb,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10558551-sa,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10524061-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34096115-sb,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34086318-sb,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34084954-sb,true,1,2,60,0.01888,0.35,0.3,1.153,1E-6
10558545-sb,true,1,2,60,0.01888,0.35,0.3,1.153,1E-6
10549263-sa,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34095665-sb,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34086306-sa,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
34084664-sb,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
20014991-sc,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10559587-sc,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10549255-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10548940-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
34095659-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34086300-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10580378-sb,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10549248-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10548933-sabc,true,3,4,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
34086016-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
34057797-sc,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10579978-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10549241-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
10548927-sc,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34095590-sa,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34054979-sa,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10559392-sa,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34095281-sa,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10579833-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
10559385-sa,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
34090007-sabc,true,3,4,60,0.021,0.35,0.3,0.7639,1E-6
34085401-sb,true,1,2,60,0.021,0.35,0.3,0.7639,1E-6
34054927-sa,true,1,2,60,0.01765,0.35,0.3,0.8110000000000001,1E-6
10556735-sa,true,1,2,60,0.01803,0.35,0.3,1.008,1E-6
10548901-sabc,true,3,4,60,0.01803,0.35,0.3,1.008,1E-6
