transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
t2,1,trans_equiv.1.2.3,delta,66,12000,1,0.00250041667,-1,0,1.1,0.9,32
t2,2,k_lsb.1.2.3.4,wye,13.8,12000,0.95625,0.00250041667,-1,0,1.1,0.9,32
10559391-sa,1,10559391.1,wye,7.62,25,1,0.0038195,-1,0,1.1,0.9,32
10559391-sa,2,sec_10559391.1,wye,0.24,25,1,0.0038195,-1,0,1.1,0.9,32
10558483-sb,1,10558483.2,wye,7.62,25,1,0.0038195,-1,0,1.1,0.9,32
10558483-sb,2,sec_10558483.2,wye,0.24,25,1,0.0038195,-1,0,1.1,0.9,32
34092313-sc,1,34092313.3,wye,7.62,15,1,0.0038195,-1,0,1.1,0.9,32
34092313-sc,2,sec_34092313.3,wye,0.24,15,1,0.0038195,-1,0,1.1,0.9,32
34085491-sb,1,34085491.2,wye,7.62,37.5,1,0.0038195,-1,0,1.1,0.9,32
34085491-sb,2,sec_34085491.2,wye,0.24,37.5,1,0.0038195,-1,0,1.1,0.9,32
34054972-sc,1,34054972.3,wye,7.62,50,1,0.00369,-1,0,1.1,0.9,32
34054972-sc,2,sec_34054972.3,wye,0.24,50,1,0.00369,-1,0,1.1,0.9,32
10559275-sa,1,10559275.1,wye,7.62,15,1,0.004055,-1,0,1.1,0.9,32
10559275-sa,2,sec_10559275.1,wye,0.24,15,1,0.004055,-1,0,1.1,0.9,32
34085468-sc,1,34085468.3,wye,7.62,15,1,0.004055,-1,0,1.1,0.9,32
34085468-sc,2,sec_34085468.3,wye,0.24,15,1,0.004055,-1,0,1.1,0.9,32
10549020-sc,1,10549020.3,wye,7.62,15,1,0.004055,-1,0,1.1,0.9,32
10549020-sc,2,sec_10549020.3,wye,0.24,15,1,0.004055,-1,0,1.1,0.9,32
10548907-sb,1,10548907.2,wye,7.62,37.5,1,0.004055,-1,0,1.1,0.9,32
10548907-sb,2,sec_10548907.2,wye,0.24,37.5,1,0.004055,-1,0,1.1,0.9,32
10555985-sc,1,10555985.3,wye,7.62,25,1,0.00504,-1,0,1.1,0.9,32
10555985-sc,2,sec_10555985.3,wye,0.24,25,1,0.00504,-1,0,1.1,0.9,32
10548988-sb,1,10548988.2,wye,7.62,25,1,0.0038195,-1,0,1.1,0.9,32
10548988-sb,2,sec_10548988.2,wye,0.24,25,1,0.0038195,-1,0,1.1,0.9,32
10543795-sc,1,10543795.3,wye,7.62,15,1,0.00504,-1,0,1.1,0.9,32
10543795-sc,2,sec_10543795.3,wye,0.24,15,1,0.00504,-1,0,1.1,0.9,32
34086801-sc,1,34086801.3,wye,7.62,10,1,0.00511,-1,0,1.1,0.9,32
34086801-sc,2,sec_34086801.3,wye,0.24,10,1,0.00511,-1,0,1.1,0.9,32
34085286-sb,1,34085286.2,wye,7.62,25,1,0.0038195,-1,0,1.1,0.9,32
34085286-sb,2,sec_34085286.2,wye,0.24,25,1,0.0038195,-1,0,1.1,0.9,32
10574854-sc,1,10574854.3,wye,7.62,15,1,0.0038195,-1,0,1.1,0.9,32
10574854-sc,2,sec_10574854.3,wye,0.24,15,1,0.0038195,-1,0,1.1,0.9,32
10548982-sa,1,10548982.1,wye,7.62,75,1,0.003745,-1,0,1.1,0.9,32
10548982-sa,2,sec_10548982.1,wye,0.24,75,1,0.003745,-1,0,1.1,0.9,32
